,Total Profit,Total Wages,Total Surplus Value,Wage Share,Unemployment Rate,Price Index,Total Tax Revenue,Total Unmet Needs,Average Financial Stress,Total Worker Wealth,Average Exploitation Rate,Total Worker Debt,Average Debt per Worker,Workers in Debt,Debt to Income Ratio,Bankrupt Workers,Total Debt Payments
98,79449.7274296574,341352.65332662215,245252.62264082668,0.5819120067811393,0.55,1.0341111559474125,158816.38608597295,26746984.645253267,0.6387446138478355,11503870.394270558,0.37134057503071494,9363436.209800271,6242.290806533514,997,0.0996396966997621,876,188040.91917391738
99,85993.51187391256,341315.3142202643,244843.1177911057,0.58229191218671,0.55,1.0338094958300266,160365.89232540422,27121352.539662343,0.6416,11630825.3806047,0.3711646279094305,9367116.056282474,6244.744037521649,998,0.09988555674990839,883,188098.12846668874
100,82138.73188760322,341389.84231501026,245067.7866740645,0.5821219222665618,0.55,1.033193026818193,160466.7298589338,27427456.01438527,0.6411333333333333,11757505.801121522,0.3712648641834071,9370711.386384672,6247.140924256448,999,0.09982235051597006,884,188191.3952405649
101,80610.4983419135,341846.7305145231,245249.43738151074,0.5822670104279393,0.5493333333333333,1.0335530820181764,160289.22295540955,27823020.476712123,0.6418,11884805.308728656,0.37119376760512096,9374184.819619918,6249.456546413278,999,0.10325612997391143,883,188280.88620445182
102,83052.42702525707,338914.70017010404,243907.21984116654,0.5815064405325561,0.552,1.0340484263664105,160852.13515956997,28157206.91933893,0.6399299338714548,12009563.717513496,0.3718413828095246,9377585.817117667,6251.723878078445,999,0.10208215709701247,883,188349.57623981376
103,82722.67999546028,339412.971720157,244222.73496535237,0.5815493600412094,0.5506666666666666,1.0335338154383586,161631.9807218071,28578017.730457682,0.6422666666666667,12133423.738217402,0.371543990382493,9381235.168113846,6254.156778742564,998,0.10409755252646659,885,188419.9784102588
104,77960.09570973225,337123.74866522243,243218.2956330931,0.580905264364974,0.5533333333333333,1.0340510264101068,161118.12338409893,28856157.652935177,0.641234641715296,12256636.596981572,0.3723063080030306,9385047.693413604,6256.698462275736,998,0.10315875530908404,885,188476.77903197426
105,86998.60281792871,335916.60530342674,242863.87689544662,0.580386892155087,0.554,1.0354166327591694,163394.43039143205,29223641.713904306,0.643256100435302,12379317.735014638,0.37259598972168095,9389302.479641857,6259.534986427904,1000,0.1039380207291649,885,188560.06994775255
106,85305.74173769716,335990.86979043053,243053.04810362827,0.5802510991090368,0.5546666666666666,1.036658285411073,163698.16519940723,29603790.840861782,0.6448,12501961.530100865,0.3729968747333514,9393014.052433383,6262.009368288922,998,0.10268801759373479,891,188681.07906457162
107,82738.88416835207,337412.7081963252,243342.51511362963,0.5809895368194471,0.5533333333333333,1.0364018502028567,163060.29480683006,29960793.929823887,0.6449333333333334,12624583.814050572,0.3723052886643505,9397388.118830083,6264.925412553389,998,0.1036386451387922,895,188708.25349764846
108,85479.4327421735,338671.31402800296,243806.56274121624,0.5814320638347374,0.552,1.0367058547688404,164391.50928007078,30264748.76655669,0.6435333333333333,12747404.435688935,0.3718548955491885,9401034.96847777,6267.356645651847,998,0.10506693900203802,890,188789.84104316455
109,83053.55936025383,340081.63431638986,244266.1067757276,0.5819850243295094,0.5506666666666666,1.0371789094782704,164163.3297807061,30550979.85994247,0.6424349122797094,12870276.704330552,0.3713869079904992,9405009.781128665,6270.006520752444,998,0.10556387594938413,889,188864.8733581285
110,76615.5282701499,340094.5407172402,244265.47789487112,0.5819948830944737,0.55,1.038471749718505,163237.81975967318,30831233.597198673,0.6415333333333333,12993782.308276001,0.3711955870275263,9409446.974577846,6272.964649718564,998,0.10584688030361328,886,188944.63727146797
111,77700.01268769594,340549.11389430816,244639.5376477606,0.5819475702355216,0.5493333333333333,1.0395250085989656,163886.0443967968,31199109.239799924,0.6429333333333334,13117860.042850887,0.37117472709889854,9413757.54890612,6275.838365937413,998,0.10781735994057971,886,189026.92682098236
112,78515.56652261705,340600.3599001425,244349.14580281614,0.5822730963603919,0.5493333333333333,1.039723908715559,164839.97420525126,31571430.315260448,0.6433762608285107,13241612.316266073,0.37084091678193765,9418069.408542512,6278.712939028342,997,0.1070855896196021,889,189106.82963948973
113,80906.51445325284,339469.1785499428,243985.7448596274,0.5818258873644712,0.5506666666666666,1.0394853904062877,164845.63369093701,31876918.64251824,0.6432,13365570.421993807,0.37123487709281594,9422099.412509032,6281.399608339354,997,0.10809330653284312,890,189168.36241840725
114,80777.1226533088,341231.5621582202,244625.62330385207,0.5824483690322702,0.5493333333333333,1.0398188742426617,165213.6516504731,32326282.421066612,0.6454,13489248.208308557,0.3707209278549314,9425060.42805052,6283.373618700347,997,0.1078826671535282,892,189254.19727355713
115,79755.77552711449,341622.31362808787,245201.84688051906,0.5821544793452268,0.5486666666666666,1.0394387050036422,164369.31110249506,32701944.11234751,0.6443333333333333,13613523.224697614,0.3708782995401871,9427856.476957124,6285.237651304749,997,0.10851962386820234,893,189318.71318729402
116,79462.26561664396,341540.63721437956,245041.19407558322,0.5822557382373936,0.5486666666666666,1.0408642185883894,164351.98922227655,33036788.892935906,0.6434,13737533.64882058,0.3707395650495176,9431062.46410498,6287.374976069987,997,0.10901301878690604,893,189380.4320673044
117,80223.26043626276,341525.43903953955,244822.8583853138,0.5824617220506377,0.5486666666666666,1.042117386883884,165002.3314260966,33423963.308810126,0.6434,13861488.401723396,0.37064365676123806,9434235.118160909,6289.49007877394,997,0.1090973525255172,892,189450.39521370627
118,79885.27649057035,341169.2241799374,244903.66309222206,0.5821276356391246,0.5486666666666666,1.0431426353683682,165767.351086857,33786052.845684335,0.6443333333333333,13985692.506061526,0.3709713033179786,9437114.759878688,6291.409839919125,997,0.10942643459383153,891,189519.70960536215
119,79438.23455283327,341964.90244463924,245008.86810447962,0.5825897503473251,0.5486666666666666,1.0444292720293256,166609.58604287083,34065200.815546155,0.6436666666666667,14108683.813650515,0.3705768064441899,9440611.45934351,6293.740972895673,997,0.1089197925005042,889,189583.714839701
120,76710.62708668568,338894.22979543934,243953.58549043312,0.5814454835508307,0.5513333333333333,1.0446876454017564,166225.7863976538,34385989.20210587,0.6444666666666667,14233061.360038904,0.37177575742340585,9444543.147730019,6296.362098486679,997,0.10959498766394636,890,189660.62175362956
121,75843.98707044442,339706.62934906787,243420.34221222598,0.5825603100462324,0.5513333333333333,1.0452238057985892,167391.02043660398,34759355.08534337,0.6444666666666667,14355448.189071428,0.3708272834678412,9449330.283436611,6299.553522291074,996,0.11036933671226808,891,189746.28893717812
122,73524.12781780717,339812.83087466215,243516.38073796255,0.5825403976173987,0.5513333333333333,1.046382661473361,167143.30533570616,35022144.84466757,0.6428746327038751,14477192.364284668,0.37112035196989385,9453400.570183622,6302.267046789081,996,0.11090295686038629,889,189829.70749296027
123,72510.30015541808,338575.77563018276,243178.75138826977,0.5819907880483817,0.552,1.047473966231514,167513.71548071472,35191668.41438591,0.6437521260371696,14598356.902438339,0.3716271282137684,9457915.902969297,6305.277268646198,994,0.11119233178783172,888,189917.85680481434
124,70548.16127921973,338786.2841562583,242805.91010296645,0.5825151841794767,0.5526666666666666,1.0469868413377772,167929.875021172,35573601.89855738,0.6448980832720846,14719481.807417734,0.37099098324796237,9461899.484189643,6307.932989459761,994,0.11112102221318021,889,189974.55807660476
125,66646.56321341738,338949.9293609893,242777.12834698454,0.5826614472712762,0.5513333333333333,1.0476297754398038,167623.86601047372,35860954.744806916,0.6442404460370917,14842019.74211072,0.37084722591186625,9467479.977176117,6311.653318117411,997,0.11191706763001888,892,190054.6567083306
126,70428.48098515911,337185.1605038755,241631.29347909018,0.58254245915718,0.554,1.0482634596629365,168288.64217465723,36232901.28820808,0.6457846060370528,14964509.80755609,0.37107526043645533,9472846.449551286,6315.230966367524,997,0.1122804548039953,893,190206.80402001366
127,73439.94837064864,335805.6728621065,241047.65084273106,0.5821335494877559,0.5546666666666666,1.0479045623207526,169070.317966881,36662730.49176547,0.6474620993703473,15086084.40779828,0.37165878380688366,9477619.581771258,6318.4130545141725,996,0.11341438970646961,895,190292.57409083896
128,72042.67430148598,337922.6534448623,242228.0219230414,0.5824739464977232,0.5533333333333333,1.0482363045760705,169802.5275869203,37089612.8094769,0.6488666666666666,15206278.102864686,0.37152457919752224,9482268.141277742,6321.512094185161,996,0.11430742875344269,898,190347.8820085253
129,70459.87278470967,338616.2959463476,242910.55116100746,0.5822883287860242,0.552,1.0479869205583288,169534.08829773474,37336845.412104376,0.6477472586756593,15327114.153854022,0.37153539044832135,9486847.577556012,6324.5650517040085,996,0.11597611803966114,899,190439.856898866
